name,display_name,data_type,chart_type
"China, Financial account, including E&O, Direct investment, Liabilities, Debt, USD bn","China, Financial account, including E&O, Direct investment, Liabilities, Debt, USD bn",None,line
"China, Current account, USD bn","China, Current account, USD bn",None,line
"China, Current account, Credit, USD bn","China, Current account, Credit, USD bn",None,line
"China, Current account, Debit, USD bn","China, Current account, Debit, USD bn",None,line
"China, Current account, Goods and services, Balance, USD bn","China, Current account, Goods and services, Balance, USD bn",None,line
"China, Current account, Goods and services, Credit, USD bn","China, Current account, Goods and services, Credit, USD bn",None,line
"China, Current account, Goods and services, Debit, USD bn","China, Current account, Goods and services, Debit, USD bn",None,line
"China, Current account, Goods, Balance, USD bn","China, Current account, Goods, Balance, USD bn",None,line
"China, Current account, Goods, Credit, USD bn","China, Current account, Goods, Credit, USD bn",None,line
"China, Current account, Goods, Debit, USD bn","China, Current account, Goods, Debit, USD bn",None,line
"China, Current account, Services, Balance, USD bn","China, Current account, Services, Balance, USD bn",None,line
"China, Current account, Services, Credit, USD bn","China, Current account, Services, Credit, USD bn",None,line
"China, Current account, Services, Debit, USD bn","China, Current account, Services, Debit, USD bn",None,line
"China, Current account, Services, Manufacturing on physical inputs owned by others, Balance, USD bn","China, Current account, Services, Manufacturing on physical inputs owned by others, Balance, USD bn",None,line
"China, Current account, Services, Manufacturing on physical inputs owned by others, Credit, USD bn","China, Current account, Services, Manufacturing on physical inputs owned by others, Credit, USD bn",None,line
"China, Current account, Services, Manufacturing on physical inputs owned by others, Debit, USD bn","China, Current account, Services, Manufacturing on physical inputs owned by others, Debit, USD bn",None,line
"China, Current account, Services, Maintenance and repair, Balance, USD bn","China, Current account, Services, Maintenance and repair, Balance, USD bn",None,line
"China, Current account, Services, Maintenance and repair, Credit, USD bn","China, Current account, Services, Maintenance and repair, Credit, USD bn",None,line
"China, Current account, Services, Maintenance and repair, Debit, USD bn","China, Current account, Services, Maintenance and repair, Debit, USD bn",None,line
"China, Current account, Services, Transport, Balance, USD bn","China, Current account, Services, Transport, Balance, USD bn",None,line
"China, Current account, Services, Transport, Credit, USD bn","China, Current account, Services, Transport, Credit, USD bn",None,line
"China, Current account, Services, Transport, Debit, USD bn","China, Current account, Services, Transport, Debit, USD bn",None,line
"China, Current account, Services, Travel, Balance, USD bn","China, Current account, Services, Travel, Balance, USD bn",None,line
"China, Current account, Services, Travel, Credit, USD bn","China, Current account, Services, Travel, Credit, USD bn",None,line
"China, Current account, Services, Travel, Debit, USD bn","China, Current account, Services, Travel, Debit, USD bn",None,line
"China, Current account, Services, Construction, Balance, USD bn","China, Current account, Services, Construction, Balance, USD bn",None,line
"China, Current account, Services, Construction, Credit, USD bn","China, Current account, Services, Construction, Credit, USD bn",None,line
"China, Current account, Services, Construction, Debit, USD bn","China, Current account, Services, Construction, Debit, USD bn",None,line
"China, Current account, Services, Insurance and pension, Balance, USD bn","China, Current account, Services, Insurance and pension, Balance, USD bn",None,line
"China, Current account, Services, Insurance and pension, Credit, USD bn","China, Current account, Services, Insurance and pension, Credit, USD bn",None,line
"China, Current account, Services, Insurance and pension, Debit, USD bn","China, Current account, Services, Insurance and pension, Debit, USD bn",None,line
"China, Current account, Services, Financial, Balance, USD bn","China, Current account, Services, Financial, Balance, USD bn",None,line
"China, Current account, Services, Financial, Credit, USD bn","China, Current account, Services, Financial, Credit, USD bn",None,line
"China, Current account, Services, Financial, Debit, USD bn","China, Current account, Services, Financial, Debit, USD bn",None,line
"China, Current account, Services, Charges for the use of intellectual property, Balance, USD bn","China, Current account, Services, Charges for the use of intellectual property, Balance, USD bn",None,line
"China, Current account, Services, Charges for the use of intellectual property, Credit, USD bn","China, Current account, Services, Charges for the use of intellectual property, Credit, USD bn",None,line
"China, Current account, Services, Charges for the use of intellectual property, Debit, USD bn","China, Current account, Services, Charges for the use of intellectual property, Debit, USD bn",None,line
"China, Current account, Services, Telecoms and information technology, Balance, USD bn","China, Current account, Services, Telecoms and information technology, Balance, USD bn",None,line
"China, Current account, Services, Telecoms and information technology, Credit, USD bn","China, Current account, Services, Telecoms and information technology, Credit, USD bn",None,line
"China, Current account, Services, Telecoms and information technology, Debit, USD bn","China, Current account, Services, Telecoms and information technology, Debit, USD bn",None,line
"China, Current account, Services, Other business, Balance, USD bn","China, Current account, Services, Other business, Balance, USD bn",None,line
"China, Current account, Services, Other business, Credit, USD bn","China, Current account, Services, Other business, Credit, USD bn",None,line
"China, Current account, Services, Other business, Debit, USD bn","China, Current account, Services, Other business, Debit, USD bn",None,line
"China, Current account, Services, Personal, Balance, USD bn","China, Current account, Services, Personal, Balance, USD bn",None,line
"China, Current account, Services, Personal, Credit, USD bn","China, Current account, Services, Personal, Credit, USD bn",None,line
"China, Current account, Services, Personal, Debit, USD bn","China, Current account, Services, Personal, Debit, USD bn",None,line
"China, Current account, Services, Government, Balance, USD bn","China, Current account, Services, Government, Balance, USD bn",None,line
"China, Current account, Services, Government, Credit, USD bn","China, Current account, Services, Government, Credit, USD bn",None,line
"China, Current account, Services, Government, Debit, USD bn","China, Current account, Services, Government, Debit, USD bn",None,line
"China, Current account, Primary income, Balance, USD bn","China, Current account, Primary income, Balance, USD bn",None,line
"China, Current account, Primary income, Credit, USD bn","China, Current account, Primary income, Credit, USD bn",None,line
"China, Current account, Primary income, Debit, USD bn","China, Current account, Primary income, Debit, USD bn",None,line
"China, Current account, Primary income, Compensation of employees, Balance, USD bn","China, Current account, Primary income, Compensation of employees, Balance, USD bn",None,line
"China, Current account, Primary income, Compensation of employees, Credit, USD bn","China, Current account, Primary income, Compensation of employees, Credit, USD bn",None,line
"China, Current account, Primary income, Compensation of employees, Debit, USD bn","China, Current account, Primary income, Compensation of employees, Debit, USD bn",None,line
"China, Current account, Primary income, Investment income, Balance, USD bn","China, Current account, Primary income, Investment income, Balance, USD bn",None,line
"China, Current account, Primary income, Investment income, Credit, USD bn","China, Current account, Primary income, Investment income, Credit, USD bn",None,line
"China, Current account, Primary income, Investment income, Debit, USD bn","China, Current account, Primary income, Investment income, Debit, USD bn",None,line
"China, Current account, Primary income, Other primary income, Balance, USD bn","China, Current account, Primary income, Other primary income, Balance, USD bn",None,line
"China, Current account, Primary income, Other primary income, Credit, USD bn","China, Current account, Primary income, Other primary income, Credit, USD bn",None,line
"China, Current account, Primary income, Other primary income, Debit, USD bn","China, Current account, Primary income, Other primary income, Debit, USD bn",None,line
"China, Current account, Secondary income, Balance, USD bn","China, Current account, Secondary income, Balance, USD bn",None,line
"China, Current account, Secondary income, Credit, USD bn","China, Current account, Secondary income, Credit, USD bn",None,line
"China, Current account, Secondary income, Debit, USD bn","China, Current account, Secondary income, Debit, USD bn",None,line
"China, Current account, Secondary income, Personal transfers, Balance, USD bn","China, Current account, Secondary income, Personal transfers, Balance, USD bn",None,line
"China, Current account, Secondary income, Personal transfers, Credit, USD bn","China, Current account, Secondary income, Personal transfers, Credit, USD bn",None,line
"China, Current account, Secondary income, Personal transfers, Debit, USD bn","China, Current account, Secondary income, Personal transfers, Debit, USD bn",None,line
"China, Current account, Secondary income, Other secondary income, Balance, USD bn","China, Current account, Secondary income, Other secondary income, Balance, USD bn",None,line
"China, Current account, Secondary income, Other secondary income, Credit, USD bn","China, Current account, Secondary income, Other secondary income, Credit, USD bn",None,line
"China, Current account, Secondary income, Other secondary income, Debit, USD bn","China, Current account, Secondary income, Other secondary income, Debit, USD bn",None,line
"China, Capital and financial account, USD bn","China, Capital and financial account, USD bn",None,line
"China, Capital account, USD bn","China, Capital account, USD bn",None,line
"China, Capital account, Credit, USD bn","China, Capital account, Credit, USD bn",None,line
"China, Capital account, Debit, USD bn","China, Capital account, Debit, USD bn",None,line
"China, Financial account, USD bn","China, Financial account, USD bn",None,line
"China, Financial account, Assets, USD bn","China, Financial account, Assets, USD bn",None,line
"China, Financial account, Liabilities, USD bn","China, Financial account, Liabilities, USD bn",None,line
"China, Financial account excluding reserve assets, USD bn","China, Financial account excluding reserve assets, USD bn",None,line
"China, Financial account excluding reserve assets, Assets, USD bn","China, Financial account excluding reserve assets, Assets, USD bn",None,line
"China, Financial account excluding reserve assets, Liabilities, USD bn","China, Financial account excluding reserve assets, Liabilities, USD bn",None,line
"China, Financial account excluding reserve assets, Financial derivatives (other than reserves) and employee stock options, USD bn","China, Financial account excluding reserve assets, Financial derivatives (other than reserves) and employee stock options, USD bn",None,line
"China, Financial account excluding reserve assets, Financial derivatives (other than reserves) and employee stock options, Assets, USD bn","China, Financial account excluding reserve assets, Financial derivatives (other than reserves) and employee stock options, Assets, USD bn",None,line
"China, Financial account excluding reserve assets, Financial derivatives (other than reserves) and employee stock options, Liabilities, USD bn","China, Financial account excluding reserve assets, Financial derivatives (other than reserves) and employee stock options, Liabilities, USD bn",None,line
"China, Reserve assets, USD bn","China, Reserve assets, USD bn",None,line
"China, Reserve assets, Monetary gold, USD bn","China, Reserve assets, Monetary gold, USD bn",None,line
"China, Reserve assets, Special drawing rights, USD bn","China, Reserve assets, Special drawing rights, USD bn",None,line
"China, Reserve assets, Reserve position in the IMF, USD bn","China, Reserve assets, Reserve position in the IMF, USD bn",None,line
"China, Reserve assets, Foreign exchange reserves, USD bn","China, Reserve assets, Foreign exchange reserves, USD bn",None,line
"China, Reserve assets, Other reserve assets, USD bn","China, Reserve assets, Other reserve assets, USD bn",None,line
"China, Net errors and ommissions, USD bn","China, Net errors and ommissions, USD bn",None,line
"China, Financial Account excluding reserve assets, including E&O, USD bn","China, Financial Account excluding reserve assets, including E&O, USD bn",None,line
"China, Capital and financial account, including E&O, USD bn","China, Capital and financial account, including E&O, USD bn",None,line
"China, Financial account including E&O, USD bn","China, Financial account including E&O, USD bn",None,line
